699615975,412010903
32566036,5115257
583224041,19189485
4229131,25447236
145919055,392350253
1254340,51244291
32858048,1244101237
583103756,251001644
183529637,50761483
3,29
489291667,1333059785
583103756,231629627
7802102,1806522546
168387,13802385
922224953,1089056128
7750628,6536751
985762,1487862517
1373663429,32566036
1796737386,1668848127
16791326,34907822
1715499210,886343
1556183260,43987623
178610164,188567544
1067599,174879704
385611122,6060516
714661120,1108821057
184374940,5657110
12318183,12505299
13936326,1996935502
7750628,297328358
3278337,1364169759
3,48390313
7802102,1716359490
1915280694,277751311
43583268,3983223
3,20062399
3,2217844934
3,33
1447303514,1562159694
168387,215704737
32782367,15162969
13936326,8923617
3,855990495
260853437,2539287228
7750628,176054092
168387,4177103
18497669,500064401
1698951720,226834074
3278337,367069352
7799178,192745282
13936326,289176021
205736912,186192814
229702921,274455412
32566036,265621058
31715908,218875353
6507482,20327457
10597019,227323308
3278337,1271374039
7802102,508404184
7802102,319344036
3278337,197413086
1384904375,1096584505
1555619306,307111500
7802102,2199550415
18084470,577262652
28307533,470786054
13936326,1434006093
3278337,225081650
239840086,401998462
184808057,175748315
41314813,611975996
486017419,1329330868
486017419,1598855861
291961790,20272441
3278337,1436488033
7802102,227388052
486017419,857488511
25347859,1167368033
32566036,208170679
13936326,54409867
12908173,208227238
479609925,210133948
261448018,344911499
48316576,31166269
53100801,42913219
25194884,177893917
292085503,25807444
25194884,186827193
7802102,26858216
486017419,1707793359
53100801,482330450
1368409608,763301916
32566036,311103225
13936326,192905953
168387,177194721
25194884,52382411
25194884,224011682
396772516,31166269
7802102,504625
13936326,355134199
32566036,247098808
7802102,27183918
181985125,1416410862
7692744,27170347
168387,251226758
25194884,367752454
1577514452,1723338836
567632356,48000985
19285201,8120338
32566036,669601578
17561696,16525541
168387,1225998183
32566036,208033587
13936326,697064291
17561696,2028904772
721636560,9125775
9607650,201685904
20504522,1365422407
17561696,244306457
3278337,44448400
10183617,1548536418
258208570,918175881
3,831
17561696,34341571
228122608,329201173
1789176031,465344499
16003350,27210302
13936326,575105183
228122608,464199740
2232447424,176944148
32566036,455143302
3410806,8808175
17561696,2028754
352855,727541
583103756,54480467
1004668413,226079038
3,3580855
25694973,251398382
13936326,340890248
19285201,1143828710
1762540308,1904730349
182620614,1131354017
25076703,345980538
226277778,3027954
13936326,207492160
188224257,1216907630
